sw, Mean_Perm, Std_dev_Perm
0.2, 273.9708057836636, 291.1621454131679
0.22222222222222224, 218.9874870555976, 231.07340280585407
0.24444444444444446, 180.3847247957974, 187.416213283627
0.26666666666666666, 149.1173224767396, 155.1965244496921
0.2888888888888889, 130.783992481094, 138.43321445791779
0.3111111111111111, 112.29817264191735, 121.77454079276353
0.33333333333333337, 97.55301342093807, 102.9461912207061
0.35555555555555557, 86.02526704942557, 91.04506448030276
0.37777777777777777, 75.1162662633623, 79.42491837085068
0.4, 67.95931746050435, 71.07865374074638
